NumDots,NumNumericChars,SubdomainLevel,RandomString,UrlLength,QueryLength,PathLevel,NumDashInHostname,HostnameLength,NumDash,NumQueryComponents,HttpsInHostname,IpAddress,NumUnderscore,Label
2,10,3,0,112,8,3,12,14,12,1,0,0,0,0
1,0,2,0,20,0,2,0,19,0,0,0,0,0,0
2,0,3,0,35,0,2,2,16,2,0,0,0,0,0
1,0,2,0,16,0,2,0,15,0,0,0,0,0,0
3,10,4,0,102,0,6,7,9,7,0,0,0,1,0
1,3,2,0,35,0,6,0,7,0,0,0,0,0,0
1,6,2,0,38,0,4,1,18,1,0,0,0,0,0
2,0,3,0,26,0,3,0,16,0,0,0,0,0,0
2,2,3,0,42,16,2,0,16,0,3,0,0,0,0
1,6,2,0,44,14,5,0,9,0,1,0,0,1,0
2,0,3,0,55,0,2,0,24,0,0,0,0,0,0
1,0,2,0,17,0,2,0,16,0,0,0,0,0,0
2,3,3,0,65,0,4,3,13,3,0,0,0,0,0
1,0,2,0,30,0,2,0,13,0,0,0,0,0,0
1,0,2,0,27,0,3,0,17,0,0,0,0,0,0
3,0,4,0,64,0,3,3,10,3,0,0,0,0,0
1,0,2,0,26,0,3,0,7,0,0,0,0,0,0
1,0,2,0,68,0,6,2,14,2,0,0,0,0,0
2,0,3,0,28,0,2,0,27,0,0,0,0,0,0
3,6,4,0,70,0,4,6,23,6,0,0,0,0,0
2,0,3,0,29,0,3,0,15,0,0,0,0,0,0
1,8,2,0,38,0,4,2,11,2,0,0,0,0,0
2,2,3,0,46,0,4,0,13,0,0,0,0,2,0
2,0,3,0,31,0,3,0,16,0,0,0,0,1,0
2,6,3,0,52,10,3,0,18,0,1,0,0,0,0
1,1,2,0,91,0,5,1,10,1,0,0,0,0,0
3,0,4,0,34,0,4,0,21,0,0,0,0,0,0
2,0,3,0,47,0,2,1,17,1,0,0,0,2,0
1,2,2,0,32,0,4,0,9,0,0,0,0,0,0
1,0,2,0,20,0,2,0,19,0,0,0,0,0,0
2,3,3,0,69,0,6,2,17,2,0,0,0,0,0
2,0,3,0,30,0,3,0,16,0,0,0,0,0,0
2,0,3,0,30,0,2,0,16,0,0,0,0,1,0
2,165,3,0,283,257,2,1,12,3,2,0,0,1,0
1,0,2,0,27,7,2,0,18,0,1,0,0,0,0
2,19,3,0,92,0,4,8,25,8,0,0,0,2,0
3,6,4,0,86,39,2,0,17,0,3,0,0,1,0
4,5,5,0,69,28,3,1,24,1,3,0,0,0,0
2,0,3,0,42,0,3,0,13,0,0,0,0,0,0
1,0,2,0,39,0,3,3,8,3,0,0,0,0,0
3,16,4,0,79,0,3,6,21,6,0,0,0,0,0
1,0,2,0,18,0,2,0,17,0,0,0,0,0,0
2,6,3,0,43,0,4,2,17,2,0,0,0,0,0
3,0,4,0,38,0,3,0,22,0,0,0,0,0,0
1,6,2,0,39,9,4,0,12,0,1,0,0,0,0
2,0,3,0,23,0,3,0,18,0,0,0,0,0,0
1,0,2,0,28,0,2,1,14,1,0,0,0,0,0
1,0,2,0,26,0,2,0,11,0,0,0,0,0,0
3,9,4,0,55,13,2,0,29,0,1,0,0,0,0
2,4,3,0,27,0,3,0,14,0,0,0,0,0,0
1,10,2,0,23,0,2,1,10,1,0,0,0,0,0
2,0,3,0,24,0,2,0,15,0,0,0,0,0,0
1,0,2,0,37,0,3,3,17,3,0,0,0,0,0
3,6,4,0,65,0,5,1,27,1,0,0,0,0,0
1,0,2,0,20,0,2,0,11,0,0,0,0,0,0
1,4,2,0,24,0,2,0,11,0,0,0,0,0,0
3,0,4,0,58,0,3,2,15,2,0,0,0,0,0
2,0,3,0,31,0,4,0,17,0,0,0,0,0,0
1,1,2,0,53,0,5,0,15,0,0,0,0,1,0
2,1,3,0,33,0,2,0,21,0,0,0,0,0,0
1,7,2,0,24,0,4,0,8,0,0,0,0,0,0
4,0,5,0,42,0,3,0,11,0,0,0,0,0,0
2,0,3,0,16,0,2,0,10,0,0,0,0,0,0
1,0,2,0,24,0,2,0,23,0,0,0,0,0,0
3,7,4,0,43,0,2,0,30,0,0,0,0,0,0
2,0,3,0,24,0,3,0,15,0,0,0,0,0,0
1,0,2,0,43,0,3,0,21,0,0,0,0,1,0
1,12,2,0,54,9,4,1,12,1,1,0,0,0,0
2,0,3,0,31,0,2,0,19,0,0,0,0,1,0
4,0,5,0,42,0,3,0,19,0,0,0,0,0,0
1,8,2,0,81,0,5,8,10,8,0,0,0,0,0
2,0,3,0,49,0,3,0,16,0,0,0,0,2,0
3,0,4,0,34,0,2,0,23,0,0,0,0,0,0
