NumDots,SubdomainLevel,PathLevel,UrlLength,NumDash,NumDashInHostname,AtSymbol,TildeSymbol,NumUnderscore,NumPercent,NumQueryComponents,NumAmpersand,NumHash,NumNumericChars,NoHttps,RandomString,IpAddress,HttpsInHostname,HostnameLength,PathLength,QueryLength,DoubleSlashInPath,TinyURL,iFrame,Mouse_Over,Web_Forwards,Label
2,3,6,117,8,8,0,0,1,0,0,0,0,5,0,0,,0,27,90,0,0,0,1,1,1,0
4,5,3,30,1,1,0,0,0,0,0,0,0,0,0,0,,0,20,10,0,0,0,1,1,1,0
2,3,3,79,0,0,0,0,1,0,1,0,0,0,0,0,,0,8,13,57,0,0,1,1,1,0
2,3,2,33,0,0,0,0,0,0,0,0,0,0,0,0,,0,15,18,0,0,0,1,1,1,0
3,3,2,179,0,0,0,0,1,8,6,6,0,11,0,0,,0,17,13,148,0,0,1,1,1,0
1,2,2,18,0,0,0,0,0,0,0,0,0,0,0,0,,0,17,1,0,0,0,1,1,1,0
2,3,2,40,0,0,0,0,0,0,1,0,0,5,0,0,,0,17,15,7,0,0,1,1,1,0
4,5,5,56,0,0,0,1,0,0,0,0,0,0,0,0,,0,14,42,0,0,0,1,1,1,0
1,2,4,40,0,0,0,0,1,0,0,0,0,6,0,0,,0,14,26,0,0,0,1,1,1,0
1,2,2,20,0,0,0,0,0,0,0,0,0,0,0,0,,0,19,1,0,0,0,1,1,1,0
1,2,3,36,1,1,0,0,0,0,0,0,0,7,0,0,,0,14,22,0,0,0,1,1,1,0
2,3,3,16,0,0,0,0,0,0,0,0,0,0,0,0,,0,12,4,0,0,0,1,1,1,0
1,2,6,39,1,1,0,0,0,0,0,0,0,7,0,0,,0,12,27,0,0,0,1,1,1,0
1,2,3,38,2,2,0,0,0,0,0,0,0,0,0,0,,0,11,27,0,0,0,1,1,1,0
3,4,3,32,0,0,0,0,0,0,0,0,0,0,0,0,,0,12,20,0,0,0,1,1,1,0
1,2,2,17,0,0,0,0,0,0,0,0,0,0,0,0,,0,16,1,0,0,0,1,1,1,0
2,3,2,25,0,0,0,0,0,0,0,0,0,0,0,0,,0,24,1,0,0,0,1,1,1,0
3,4,3,61,0,0,0,0,0,0,1,0,0,15,0,0,,0,20,15,25,0,0,1,1,1,0
3,4,3,63,4,4,0,0,0,0,0,0,0,0,0,0,,0,11,52,0,0,0,1,1,1,0
1,2,4,42,3,3,0,0,0,0,0,0,0,7,0,0,,0,10,32,0,0,0,1,1,1,0
2,3,4,31,0,0,0,0,0,0,0,0,0,0,0,0,,0,20,11,0,0,0,1,1,1,0
1,2,2,11,0,0,0,0,0,0,0,0,0,3,0,0,,0,10,1,0,0,0,1,1,1,0
1,2,5,56,3,3,0,0,0,0,0,0,0,6,0,0,,0,11,45,0,0,0,1,1,1,0
2,3,2,32,0,0,0,0,0,0,0,0,0,0,0,0,,0,31,1,0,0,1,1,1,1,0
4,5,2,37,0,0,0,0,0,0,0,0,0,3,0,0,,0,22,15,0,0,0,1,1,1,0
1,2,3,67,6,6,0,0,0,0,0,0,0,0,0,0,,0,13,54,0,0,0,1,1,1,0
1,2,2,27,1,1,0,0,0,0,0,0,0,0,0,0,,0,10,17,0,0,0,1,1,1,0
3,4,3,49,0,0,0,0,0,0,0,0,0,0,0,0,,0,19,14,15,0,0,1,1,1,0
